s,CH1[V]
-4.236E-01,-6.03E-01
-4.236E-01,1.34E+00
-4.232E-01,-7.43E-01
-4.232E-01,1.16E+00
-4.228E-01,-1.26E+00
-4.228E-01,1.32E+00
-4.224E-01,-1.06E+00
-4.224E-01,5.97E-01
-4.220E-01,-5.63E-01
-4.220E-01,1.32E+00
-4.216E-01,-1.16E+00
-4.216E-01,1.26E+00
-4.212E-01,-1.28E+00
-4.212E-01,1.26E+00
-4.208E-01,-1.24E+00
-4.208E-01,1.24E+00
-4.204E-01,-1.24E+00
-4.204E-01,1.30E+00
-4.200E-01,-5.83E-01
-4.200E-01,1.32E+00
